nuclides,reactions,groups,xs
U234,"(n,gamma)",35,0.16461560777857706
U234,"(n,gamma)",36,0.11438975015196363
U234,"(n,gamma)",37,0.06512520774060104
U234,"(n,gamma)",38,0.043798923909470246
U234,"(n,gamma)",39,0.022217838946298536
U234,"(n,gamma)",40,0.007460481619000645
U234,fission,1,0.11547717572128961
U234,fission,2,0.07172854565713577
U234,fission,3,0.05591696131133286
U234,fission,4,0.046922840945973626
U234,fission,5,0.039497446055836376
U234,fission,6,0.033902567853205286
U234,fission,7,0.02886975381127106
U234,fission,8,0.024112441661276532
U234,fission,9,0.02088411486783523
U234,fission,10,0.018027857881945244
U234,fission,11,0.015276692459915127
U234,fission,12,0.011332035142114392
U234,fission,13,0.007824266247614712
U234,fission,14,0.006461273479082773
U234,fission,15,0.006090378986247876
U234,fission,16,0.005895697108175938
U234,fission,17,0.005573040531900446
U234,fission,18,0.0052876870917372065
U234,fission,19,0.0049018058746826
U234,fission,20,0.004367289632960159
U234,fission,21,0.0038027374986416545
U234,fission,22,0.0034142410085170154
U234,fission,23,0.003250484483011272
U234,fission,24,0.0035722504867198917
U234,fission,25,0.005737550910236711
U234,fission,26,0.3736763314965846
U234,fission,27,0.00023817953640802497
U234,fission,28,0.0005199876732474287
U234,fission,29,0.020067943278679903
U234,fission,30,0.052340626473005386
U234,fission,31,0.07611230075530306
U234,fission,32,0.012243750566934938
U234,fission,33,0.014333275489279955
U234,fission,34,0.1375711878831833
U234,fission,35,0.9595912043038356
U234,fission,36,1.1775591453324936
U234,fission,37,1.451785176652943
U234,fission,38,1.485796823115139
U234,fission,39,1.3651480656307005
U234,fission,40,1.7944280065364462
U235,"(n,gamma)",1,188.9832074229188
U235,"(n,gamma)",2,107.39897624259685
U235,"(n,gamma)",3,78.81937607211587
U235,"(n,gamma)",4,63.86699198562045
U235,"(n,gamma)",5,52.46395756030543
U235,"(n,gamma)",6,44.659095755112915
U235,"(n,gamma)",7,38.83887041368277
U235,"(n,gamma)",8,35.63294353076518
U235,"(n,gamma)",9,37.24047155782709
U235,"(n,gamma)",10,43.870965324761045
U235,"(n,gamma)",11,38.992060075195546
U235,"(n,gamma)",12,14.121778143481318
U235,"(n,gamma)",13,6.764062991887234
U235,"(n,gamma)",14,7.1456388799734505
U235,"(n,gamma)",15,8.47481300700423
U235,"(n,gamma)",16,10.159135943560242
U235,"(n,gamma)",17,16.853778423829112
U235,"(n,gamma)",18,28.05751783171693
U235,"(n,gamma)",19,19.993190363665768
U235,"(n,gamma)",20,5.703209760361938
U235,"(n,gamma)",21,3.1218548766289884
U235,"(n,gamma)",22,22.69844660612576
U235,"(n,gamma)",23,3.2362547218785727
