nuclides,reactions,groups,xs
O16,"(n,3n)",5,0.0
O16,"(n,3n)",6,0.0
O16,"(n,3n)",7,0.0
O16,"(n,3n)",8,0.0
O16,"(n,4n)",1,0.0
O16,"(n,4n)",2,0.0
O16,"(n,4n)",3,0.0
O16,"(n,4n)",4,0.0
O16,"(n,4n)",5,0.0
O16,"(n,4n)",6,0.0
O16,"(n,4n)",7,0.0
O16,"(n,4n)",8,0.0
O16,fission,1,0.0
O16,fission,2,0.0
O16,fission,3,0.0
O16,fission,4,0.0
O16,fission,5,0.0
O16,fission,6,0.0
O16,fission,7,0.0
O16,fission,8,0.0
O17,"(n,gamma)",1,0.0036881502480965245
O17,"(n,gamma)",2,0.0020641532877508596
O17,"(n,gamma)",3,0.0013886478293304659
O17,"(n,gamma)",4,0.0009426827545383197
O17,"(n,gamma)",5,0.0005019062175068324
O17,"(n,gamma)",6,7.146489834828773e-05
O17,"(n,gamma)",7,5.424613934868974e-05
O17,"(n,gamma)",8,0.0002227073453914546
O17,"(n,2n)",1,0.0
O17,"(n,2n)",2,0.0
O17,"(n,2n)",3,0.0
O17,"(n,2n)",4,0.0
O17,"(n,2n)",5,0.0
O17,"(n,2n)",6,0.0
O17,"(n,2n)",7,0.0
O17,"(n,2n)",8,5.2076637996127175e-05
O17,"(n,p)",1,0.0
O17,"(n,p)",2,0.0
O17,"(n,p)",3,0.0
O17,"(n,p)",4,0.0
O17,"(n,p)",5,0.0
O17,"(n,p)",6,0.0
O17,"(n,p)",7,0.0
O17,"(n,p)",8,1.7321030388109925e-05
O17,"(n,a)",1,0.22647834452952595
O17,"(n,a)",2,0.1268107090749727
O17,"(n,a)",3,0.08538026760063479
O17,"(n,a)",4,0.05800583490768715
O17,"(n,a)",5,0.030921560707230487
O17,"(n,a)",6,0.004416706412133411
O17,"(n,a)",7,0.027595570597227448
O17,"(n,a)",8,0.1086770467094327
O17,"(n,3n)",1,0.0
O17,"(n,3n)",2,0.0
O17,"(n,3n)",3,0.0
O17,"(n,3n)",4,0.0
O17,"(n,3n)",5,0.0
O17,"(n,3n)",6,0.0
O17,"(n,3n)",7,0.0
O17,"(n,3n)",8,0.0
O17,"(n,4n)",1,0.0
O17,"(n,4n)",2,0.0
O17,"(n,4n)",3,0.0
O17,"(n,4n)",4,0.0
O17,"(n,4n)",5,0.0
O17,"(n,4n)",6,0.0
